Status,Module,File Time Stamp,Link Time Stamp,File Size,Attr.,Link Checksum,Real Checksum,CPU,Subsystem,Symbols,Preferred Base,Actual Base,Virtual Size,Load Order,File Ver,Product Ver,Image Ver,Linker Ver,OS Ver,Subsystem Ver
?,"API-MS-WIN-CORE-KERNEL32-PRIVATE-L1-1-1.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
?,"API-MS-WIN-CORE-PRIVATEPROFILE-L1-1-1.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
D?,"API-MS-WIN-CORE-SHUTDOWN-L1-1-1.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
?,"API-MS-WIN-SERVICE-PRIVATE-L1-1-1.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
D?,"EXT-MS-WIN-NTUSER-UICONTEXT-EXT-L1-1-0.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
D?,"IESHIMS.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
,"API-MS-WIN-CORE-COMM-L1-1-0.DLL",2013-08-22 04:14:45,2013-08-22 04:14:45,3584,HA,0x0000EAEF,0x0000EAEF,x86,Console,"CV",0x10000000,Unknown,0x00004000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-CONSOLE-L1-1-0.DLL",2013-08-22 04:14:48,2013-08-22 04:14:48,3584,HA,0x000090A4,0x000090A4,x86,Console,"CV",0x10000000,Unknown,0x00004000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-CONSOLE-L2-1-0.DLL",2013-08-22 04:14:45,2013-08-22 04:14:45,4096,HA,0x00001528,0x00001528,x86,Console,"CV",0x10000000,Unknown,0x00004000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-CRT-L1-1-0.DLL",2013-08-22 04:17:34,2013-08-22 04:17:34,4608,HA,0x00002592,0x00002592,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-CRT-L2-1-0.DLL",2013-08-22 04:17:34,2013-08-22 04:17:34,3072,HA,0x0000CC4C,0x0000CC4C,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-DATETIME-L1-1-1.DLL",2013-08-22 04:17:23,2013-08-22 04:17:22,2560,HA,0x000019CB,0x000019CB,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-DEBUG-L1-1-1.DLL",2013-08-22 04:17:20,2013-08-22 04:17:20,2560,HA,0x00005CFC,0x00005CFC,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-DELAYLOAD-L1-1-1.DLL",2013-08-22 04:17:23,2013-08-22 04:17:22,2560,HA,0x00007C0D,0x00007C0D,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
D,"API-MS-WIN-CORE-ERRORHANDLING-L1-1-0.DLL",2013-08-22 04:17:20,2013-08-22 04:17:20,2560,HA,0x0000AAC3,0x0000AAC3,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-ERRORHANDLING-L1-1-1.DLL",2013-08-22 04:17:23,2013-08-22 04:17:22,3072,HA,0x0000577D,0x0000577D,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-FIBERS-L1-1-1.DLL",2013-08-22 04:17:22,2013-08-22 04:17:22,2560,HA,0x000104C0,0x000104C0,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
D,"API-MS-WIN-CORE-FILE-L1-1-0.DLL",2013-08-22 04:17:23,2013-08-22 04:17:23,4608,HA,0x00006C05,0x00006C05,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
D,"API-MS-WIN-CORE-FILE-L1-2-0.DLL",2013-08-22 04:17:23,2013-08-22 04:17:23,4608,HA,0x0000EF84,0x0000EF84,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-FILE-L1-2-1.DLL",2013-08-22 04:17:23,2013-08-22 04:17:23,4608,HA,0x00003C1A,0x00003C1A,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
D,"API-MS-WIN-CORE-FILE-L2-1-0.DLL",2013-08-22 04:17:37,2013-08-22 04:17:37,3072,HA,0x00008450,0x00008450,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-FILE-L2-1-1.DLL",2013-08-22 04:17:36,2013-08-22 04:17:36,3072,HA,0x00010166,0x00010166,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
